Country, Country Code, Network, Outbound Message Costs
Afghanistan,93,,
,,Areeba,0.8
,,AWCC,0.8
,,Etisalat,0.8
,,TDCA (ROSHAN),0.8
Albania,355,,
,,AMC,2.5
,,Eagle Mobile,1
,,Vodafone,0.8
Algeria,213,,
,,Mobilis (AMN),0.8
,,Orascom (Djezzy),0.8
,,Wataniya (Nedjma),0.8
Andorra,376,,
,,Mobiland (STA),0.8
Angola,244,,
,,Unitel,0.8
Anguilla,1264,,
,,Cable & Wireless,0.8
,,Digicel,0.8
Antigua & Barbuda,1268,,
,,APUA,0.8
,,Cable and Wireless,0.8
,,Digicel,0.8
Argentina,54,,
,,CTI Movil (AMX),0.8
,,MiniPhone,1
,,Nextel (iDEN),0.8
,,Telecom Personal,0.8
,,Telefonica Movistar (Unefon),0.8
Armenia,374,,
,,Armentel,0.8
,,K Telecom CJSC (VivaCell),0.8
,,Karabakh Telecom,0.8
Aruba,297,,
,,"Digicel (NMTS,Mossel)",0.8
,,SETAR GSM,0.8
Australia,61,,
,,Hutchison 3G (THREE),0.8
,,Telstra,1
,,Virgin Mobile,0.8
,,Vodafone,1
,,YES Optus (Singtel),0.8
Austria,43,,
,,ACOTEL,1.5
,,"Mobilkom (Telekom,A1,PTA)",1.5
,,Orange (ONE),0.8
,,T-Mobile Austria GmbH (Tele.Ring),1.5
,,TRE (H3G),0.8
Azerbaijan,994,,
,,Azercell Telekom B.M.,0.8
,,J.V.Bakcell GSM 2000,0.8
"Bahamas, the",1242,,
,,BTC Bahamas,1
Bahrain,973,,
,,Batelco (BHR Mobile Plus),0.8
,,Zain (MTC Vodafone),0.8
Bangladesh,880,,
,,AkTel (Telecom Malaysia),0.8
,,BanglaLink  - Sheba,0.8
,,GrameenPhone,0.8
,,Warid Telecom International,0.8
Barbados,1246,,
,,Cable and Wireless,0.8
,,Cingular (Cellular Com),0.8
,,Digicel,0.8
Barbuda,?,,
,,Dicigel,0.8
Belarus,375,,
,,Beltelecom,0.8
,,Mobile Digital Comm(VELCOM),0.8
,,MTS Belarus,0.8
Belgium,32,,
,,BASE (KPN Orange)(Dixitel),0.8
,,Mobistar,1.5
,,Proximus (Belgacom),1.5
Belize,501,,
,,Belize Telecom Ltd,0.8
Benin,229,,
,,Libercom,0.8
,,Spacetel (Areeba),0.8
,,Telecel Benin,0.8
Bermuda,1441,,
,,Cingular (Digicel),0.8
,,Mobility (M3 Wireless),0.8
Bhutan,975,,
,,B-Mobile,0.8
Bolivia,591,,
,,Entel,0.8
,,Nuevatel,0.8
,,Telecel (Millicom),0.8
Bosnia-Herzegovina,387,,
,,BH Telecom (GSMBIH),0.8
,,ERONET/HPT,0.8
,,"RS Telecoms (m:tel,mobis)",0.8
Botswana,267,,
,,Mascom Wireless,0.8
,,Orange (Vista),0.8
Brazil,55,,
,,Brasil Telecom,0.8
,,Claro,1
